SQLDATE,EventCode,GoldsteinScale,NumMentions,AvgTone,ActionGeo_Type,ActionGeo_Lat,ActionGeo_Long,SOURCEURL
2022-07-23,190,-10.0,80,-3.28767123287672,4,24.1098,113.005,https://www.bignewsnetwork.com/news/272629729/chinese-people-liberation-army-navy-ship-spotted-near-taiwan-ahead-of-annual-war-games
2022-05-30,192,-9.5,105,-2.54545454545455,4,39.9289,116.388,https://www.bignewsnetwork.com/news/272570271/taiwan-claims-30-chinese-war-planes-entered-its-air-defense-zone
2023-01-09,150,-7.2,103,-2.83231714660143,4,25.0478,121.532,https://menafn.com/1105399435/Taiwans-National-Security-Taking-Undue-Precedence
2022-10-09,190,-10.0,54,1.92049253805816,4,25.0478,121.532,https://news.yahoo.com/taiwan-president-pledge-bolster-combat-150820280.html
2023-07-22,154,-7.2,45,-4.07330789726794,4,24.0,121.0,https://infotel.ca/newsitem/as-taiwan-china/cp42833282
2023-07-22,154,-7.2,70,-3.91886055498761,4,24.0,119.0,https://www.stamfordadvocate.com/news/world/article/as-taiwan-prepares-for-anti-invasion-exercises-18255259.php
2023-07-22,154,-7.2,50,-4.21275272043521,4,25.0478,121.532,https://apnews.com/article/taiwan-china-warplanes-military-exercises-548705bdceb0763c654cfd11f9b74dfd
2023-12-18,190,-10.0,50,-3.59442028165366,4,39.9289,116.388,https://www.kunc.org/npr-news/2023-12-18/china-is-subtly-increasing-military-pressure-on-taiwan-heres-how
2023-12-18,190,-10.0,50,-3.59442028165366,4,39.9289,116.388,https://www.kunc.org/npr-news/2023-12-18/china-is-subtly-increasing-military-pressure-on-taiwan-heres-how
2022-06-11,190,-10.0,46,-4.94924378988328,3,38.8951,-77.0364,https://newsrnd.com/news/2022-06-11-taiwan--washington-denounces-china-s-
2022-06-11,190,-10.0,42,-4.65305411849146,4,39.9289,116.388,https://www.msn.com/en-gb/news/world/china-becoming-more-coercive-and-aggressive-u-s-defence-chief/ar-AAYkszA
2022-06-11,190,-10.0,148,-5.39416744362681,4,24.0,121.0,https://www.msn.com/en-gb/news/world/china-becoming-more-coercive-and-aggressive-u-s-defence-chief/ar-AAYkszA
2022-06-11,190,-10.0,42,-5.20914720482771,4,55.7522,37.6156,https://www.msn.com/en-gb/news/world/china-becoming-more-coercive-and-aggressive-u-s-defence-chief/ar-AAYkszA
2022-08-05,194,-10.0,118,-4.11261557156022,4,39.9289,116.388,https://island.lk/china-fires-missiles-in-unprecedented-drills-around-taiwan/
2022-08-05,194,-10.0,46,-2.92713384257177,4,37.5664,127.0,https://edition.cnn.com/2022/08/04/asia/china-taiwan-pelosi-japan-tensions-intl-hnk/
2022-08-05,194,-10.0,287,-3.52252069723017,4,39.9289,116.388,http://www.msn.com/en-us/news/world/taiwan-faces-urgent-fighter-pilot-shortage-as-xi-tests-defenses/ar-AA10iUBG
2022-08-05,150,-7.2,145,-3.35449556275327,4,39.9289,116.388,http://www.vindy.com/wire/?category=6&ID=227047
2022-08-05,194,-10.0,118,-2.42030032500347,5,26.545,117.843,https://www.bignewsnetwork.com/news/272644372/days-after-pelosis-taiwan-visit-china-still-fuming
2022-08-05,194,-10.0,125,-2.96018815846313,4,25.0478,121.532,https://maritime-executive.com/article/china-launches-11-ballistic-missiles-into-waters-around-taiwan
2022-08-05,150,-7.2,752,-2.68058040215589,4,39.9289,116.388,https://www.itv.com/news/2022-08-05/chinese-planes-and-ships-cross-unofficial-buffer-zone-with-taiwan
2023-03-05,154,-7.2,84,-3.28170757479698,4,25.0478,121.532,https://www.australiannews.net/news/273594718/taiwan-19-chinese-air-force-planes-entered-its-air-defense-zone
2023-04-09,150,-7.2,70,1.04812256544839,4,39.9289,116.388,https://www.reuters.com/world/us-says-it-is-monitoring-chinas-drills-around-taiwan-closely-2023-04-08/
2023-04-09,190,-10.0,100,-2.27153251744623,4,39.9289,116.388,https://www.moneycontrol.com/news/world/china-simulates-striking-taiwan-on-second-day-of-drills-10383491.html
2023-04-09,150,-7.2,45,-2.49002607463196,4,20.6827,109.951,https://gcaptain.com/china-stages-a-second-day-of-military-exercises-around-taiwan/
2023-04-09,150,-7.2,45,-2.25808912857809,4,24.0,119.0,https://www.beijingbulletin.com/news/273722510/us-ready-for-war-with-china-congressman
2023-04-09,150,-7.2,80,-2.24529569218954,4,25.0478,121.532,https://www.dallassun.com/news/273722510/us-ready-for-war-with-china-congressman
2023-04-09,150,-7.2,225,-0.819412476763475,4,25.0478,121.532,https://www.smh.com.au/world/asia/us-watching-closely-as-china-aircraft-and-ships-towards-taiwan-20230409-p5cz46.html
2023-04-09,190,-10.0,102,-2.18118763684592,4,25.0478,121.532,https://www.rte.ie/news/world/2023/0409/1376010-taiwan-china/
2023-04-09,150,-7.2,95,-2.16938922354974,4,21.4167,121.5,https://economictimes.indiatimes.com/news/defence/china-simulates-striking-taiwan-on-second-day-of-drills/articleshow/99353110.cms
