SQLDATE,EventRootCode,QuadClass,GLOBALEVENTID,EventCode,Actor1Name,Actor2Name,Actor1CountryCode,Actor2CountryCode,Actor1Type1Code,GoldsteinScale,NumMentions,AvgTone,ActionGeo_Type,ActionGeo_Lat,ActionGeo_Long,SOURCEURL,score_mentions,score_goldstein,score_tone,score_zscore,score_geo,priority_score
2023-04-10,19,4,1094630649,190,CHINESE,TAIWAN,CHN,TWN,MIL,-10.0,310,-2.67644665453947,4,24.0,119.0,https://www.ctvnews.ca/world/china-military-displays-force-toward-taiwan-after-tsai-trip-1.6348646,1.0,0.9999999996428571,0.0,0.18849130896753405,1.0,1.0
2023-04-17,15,4,1096218135,150,CHINA,TAIWAN,CHN,TWN,,-7.2,96,-1.88952300045735,4,24.0,119.0,https://www.france24.com/en/live-news/20230417-us-says-naval-destroyer-sailed-through-taiwan-strait,1.0,0.0,0.0,0.0668494788220025,1.0,1.0
2018-04-19,15,4,748887896,150,CHINA,TAIWAN,CHN,TWN,,-7.2,120,-3.27608966653029,4,24.0,119.0,https://ca.reuters.com/article/topNews/idCAKBN1HQ04G-OCATP,1.0,0.0,0.32346950888675663,0.08768627380063523,1.0,1.0
2022-08-04,19,4,1057179707,194,CHINA,TAIWAN,CHN,TWN,,-10.0,536,-4.77296396357928,4,24.0,119.0,https://www.wkms.org/npr-news/npr-news/2022-08-04/china-fires-waves-of-missiles-over-the-taiwan-strait-raising-tensions-in-the-region,1.0,0.9999999996428571,0.47126558378615196,0.9999999998921218,1.0,1.0
2024-05-25,15,4,1177858959,150,CHINA,TAIWAN,CHN,TWN,,-7.2,231,-3.30091282269956,4,24.0,119.0,https://www.thestar.com.my/aseanplus/aseanplus-news/2024/05/25/chinese-military-drills-around-taiwan-have-ended-state-media,1.0,0.0,0.32592045954818866,0.008844346854457374,1.0,1.0
2020-09-18,15,4,947267181,150,CHINA,TAIWAN,CHN,TWN,,-7.2,176,-0.0314697565937653,4,24.0,119.0,https://www.reuters.com/article/us-taiwan-usa-china/china-says-its-conducting-military-exercises-near-taiwan-strait-idUSKBN2690AS,1.0,0.0,0.0,0.054741611469553766,1.0,1.0
2021-01-19,19,4,965063394,190,TAIWAN,CHINA,TWN,CHN,,-10.0,1406,-1.27178941149846,4,24.0,119.0,https://www.9news.com.au/world/taiwan-stages-military-defence-drill-against-potential-china-attack/2dbe3bab-0ba6-4509-b03b-78b419a4523c,1.0,0.9999999996428571,0.0,0.34814621103354415,1.0,1.0
2024-12-11,15,4,1214951309,150,CHINA,TAIWAN,CHN,TWN,MIL,-7.2,374,-1.23044681504321,4,24.0,119.0,https://www.news4jax.com/news/world/2024/12/11/taiwan-demands-that-china-end-its-military-activity-in-nearby-waters/,1.0,0.0,0.0,0.20003601969893867,1.0,1.0
2016-01-21,19,4,504243485,190,CHINA,TAIWAN,CHN,TWN,MIL,-10.0,134,-2.47693103716613,4,24.0,119.0,http://www.dailymail.co.uk/wires/reuters/article-3409658/China-military-reports-landing-drills-days-Taiwan-election.html,1.0,0.9999999996428571,0.0,0.0,1.0,1.0
2020-12-31,15,4,962106938,151,CHINA,TAIWAN,CHN,TWN,,-7.2,194,-3.27947708981559,4,24.0,119.0,https://www.decaturdaily.com/news/other_news/national/china-accuses-us-of-show-of-force-with-taiwan-strait-passage/article_2a9de986-2b8b-511c-b272-f118c25e7eb3.html,1.0,0.0,0.3238039710834669,0.3419514882020588,1.0,1.0
