사건,중요도,날짜,mentions,① mentions만,② 위치 중심,③ 위치+급증도,④ grid 최적,⑤ 우리 config★
중국 대만 주변 포위형 군사활동,매우 높음,2025-12-29,262.0,1.0,51.0,28.0,54.0,86.0
Strait Thunder-2025A,매우 높음,2025-04-01,214.0,1.0,51.0,30.0,57.0,49.0
대만 해안 실사격 훈련,매우 높음,2025-02-27,1026.0,1.0,32.0,87.0,39.0,20.0
Joint Sword-2024B,매우 높음,2024-10-14,96.0,1.0,51.0,60.0,86.0,240.0
Joint Sword-2024A,매우 높음,2024-05-23,231.0,1.0,1.0,25.0,52.0,14.0
라이칭더 총통 당선,높음,2024-01-13,22.0,611.0,323.0,328.0,256.0,605.0
라이칭더 미국 경유 방문,높음,2023-08-12,154.0,1.0,264.0,318.0,495.0,388.0
Shandong 대만 동부 작전·Joint Sword,매우 높음,2023-04-05,424.0,1.0,1.0,11.0,9.0,7.0
금문도 드론 격추,높음,2022-08-31,682.0,1.0,44.0,16.0,7.0,33.0
대만 포위 실사격 훈련,매우 높음,2022-08-04,1420.0,1.0,1.0,1.0,1.0,1.0
Pelosi 대만 방문,매우 높음,2022-08-02,1465.0,1.0,1.0,1.0,1.0,1.0
Pelosi 방문 직전 군사훈련,매우 높음,2022-07-30,1465.0,1.0,98.0,157.0,212.0,72.0
역대 최대 ADIZ 진입,매우 높음,2021-10-01,840.0,1.0,98.0,153.0,139.0,61.0
대만 군사 방어 훈련,높음,2021-01-19,1406.0,1.0,1.0,7.0,5.0,3.0
미국 대만해협 통과,중간~높음,2020-12-31,1190.0,1.0,1.0,9.0,28.0,9.0
미국 국무차관 대만 방문,높음,2020-09-17,463.0,1.0,1.0,43.0,68.0,18.0
미국 보건장관 대만 방문,높음,2020-08-09,54.0,422.0,323.0,328.0,256.0,605.0
대만해협 중간선 침범,매우 높음,2019-03-31,,,,,,
대만해협 실사격 훈련,높음,2018-04-18,184.0,1.0,1.0,32.0,59.0,12.0
차이잉원 취임,높음,2016-05-20,1468.0,1.0,98.0,328.0,256.0,59.0
