사건,중요도,날짜,geo,goldstein,mentions,① mentions만,② 위치 중심,③ 위치+급증도,④ 최종★
중국 대만 주변 포위형 군사활동,매우 높음,2025-12-29,0.05,-7.2,262.0,58.0,612.0,839.0,768.0
Strait Thunder-2025A,매우 높음,2025-04-01,0.05,-10.0,214.0,68.0,662.0,753.0,455.0
대만 해안 실사격 훈련,매우 높음,2025-02-27,0.05,-10.0,1026.0,7.0,176.0,595.0,44.0
Joint Sword-2024B,매우 높음,2024-10-14,0.05,-7.2,96.0,224.0,744.0,921.0,1039.0
Joint Sword-2024A,매우 높음,2024-05-23,0.5,-7.2,231.0,65.0,52.0,109.0,91.0
라이칭더 총통 당선,높음,2024-01-13,0.25,-10.0,22.0,998.0,473.0,388.0,421.0
라이칭더 미국 경유 방문,높음,2023-08-12,0.05,-7.2,154.0,113.0,686.0,913.0,1056.0
Shandong 대만 동부 작전·Joint Sword,매우 높음,2023-04-05,0.25,-7.2,424.0,29.0,155.0,247.0,192.0
금문도 드론 격추,높음,2022-08-31,0.05,-10.0,682.0,16.0,569.0,652.0,112.0
대만 포위 실사격 훈련,매우 높음,2022-08-04,0.05,-10.0,1420.0,3.0,152.0,283.0,6.0
Pelosi 대만 방문,매우 높음,2022-08-02,0.05,-7.2,1465.0,2.0,150.0,629.0,36.0
Pelosi 방문 직전 군사훈련,매우 높음,2022-07-30,0.05,-7.2,1465.0,2.0,150.0,629.0,36.0
역대 최대 ADIZ 진입,매우 높음,2021-10-01,0.05,-9.5,840.0,11.0,566.0,624.0,66.0
대만 군사 방어 훈련,높음,2021-01-19,0.5,-10.0,1406.0,4.0,2.0,53.0,1.0
미국 대만해협 통과,중간~높음,2020-12-31,0.5,-7.2,1190.0,5.0,10.0,55.0,3.0
미국 국무차관 대만 방문,높음,2020-09-17,0.25,-10.0,463.0,27.0,153.0,226.0,94.0
미국 보건장관 대만 방문,높음,2020-08-09,0.05,-10.0,54.0,422.0,851.0,921.0,897.0
대만해협 중간선 침범,매우 높음,2019-03-31,,,,,,,
대만해협 실사격 훈련,높음,2018-04-18,0.75,-7.2,184.0,93.0,6.0,24.0,37.0
차이잉원 취임,높음,2016-05-20,0.05,-7.2,1468.0,1.0,149.0,257.0,14.0
