SQLDATE,DailyMentions,EventCount,AvgGoldstein,AvgTone,MA_7,MA_14,MA_30,MoM_rate,is_spike
2018-04-19,457,5,-7.76,-2.213559286677372,214.42857142857142,344.64285714285717,452.1,315.45454545454544,True
2019-01-15,868,3,-10.0,-1.9789392650760194,224.0,218.5,299.9,623.3333333333334,True
2019-01-16,1354,3,-10.0,-2.5581351509105565,400.2857142857143,283.7857142857143,314.0,1028.3333333333333,True
2019-11-22,488,3,-10.0,-3.5193374682788767,230.0,339.5,266.06666666666666,16.46778042959427,True
2020-08-23,775,5,-10.0,-2.446423269656644,183.0,142.92857142857142,235.86666666666667,919.7368421052632,True
2020-09-18,276,3,-7.2,-1.6936572134856585,237.42857142857142,154.85714285714286,239.76666666666668,245.00000000000003,True
2020-09-19,779,5,-9.440000000000001,-2.144575535009138,318.14285714285717,200.35714285714286,236.8,264.01869158878503,True
2020-12-31,1384,2,-7.2,-3.24381676410554,382.7142857142857,310.07142857142856,214.83333333333334,401.4492753623189,True
2021-01-19,1406,1,-10.0,-1.27178941149846,488.14285714285717,408.42857142857144,258.46666666666664,998.4375,True
2021-05-04,598,2,-10.0,-1.395659439026105,168.28571428571428,329.2142857142857,254.26666666666668,1200.0,True
2021-06-03,992,3,-10.0,-1.3151532517323734,314.2857142857143,297.2142857142857,287.46666666666664,1966.6666666666667,True
2021-06-20,364,5,-10.0,-0.342168628750773,283.42857142857144,225.85714285714286,277.7,-39.13043478260869,True
2021-07-08,870,1,-7.2,-3.85988112110123,255.71428571428572,294.2857142857143,302.8666666666667,383.3333333333333,True
2021-09-15,346,5,-7.2,-3.982526554948632,245.71428571428572,263.7142857142857,282.7,220.37037037037038,True
2021-09-23,670,4,-8.6,-2.0713376136601074,212.85714285714286,234.28571428571428,300.1666666666667,-22.988505747126442,True
2021-10-02,377,4,-9.05,-4.63406128321418,258.14285714285717,256.64285714285717,266.6,528.3333333333334,True
2021-10-03,1550,5,-9.5,-4.775033614249146,469.2857142857143,364.2142857142857,310.3,2052.777777777778,True
2022-05-31,380,4,-9.75,-3.5048264777223674,125.28571428571429,105.21428571428571,227.86666666666667,295.83333333333337,True
2022-06-11,278,4,-10.0,-5.051403139207315,147.42857142857142,109.5,206.06666666666666,148.21428571428572,True
2022-06-14,578,1,-7.2,-0.79022030347872,217.42857142857142,146.92857142857142,222.93333333333334,556.8181818181819,True
2022-07-30,1525,2,-8.6,-2.201213437038365,385.2857142857143,256.07142857142856,259.43333333333334,2441.666666666667,True
2022-08-03,1496,6,-7.583333333333333,-2.4680220671705833,596.1428571428571,371.7857142857143,284.93333333333334,438.12949640287775,True
2022-08-04,3363,17,-8.81764705882353,-3.1797041484596953,994.0,605.7142857142857,345.3666666666667,481.8339100346021,True
2022-08-05,1591,7,-9.200000000000001,-3.1396906513911316,1201.857142857143,714.8571428571429,390.6333333333333,1069.8529411764707,True
2022-08-07,2510,6,-9.533333333333333,-4.138079607578733,1549.0,886.6428571428571,471.73333333333335,3037.5,True
2023-04-05,618,2,-8.6,-0.8424576737882854,183.14285714285714,155.85714285714286,291.73333333333335,635.7142857142857,True
2023-04-08,766,7,-8.0,-2.3608829980077517,296.85714285714283,211.0,188.23333333333332,1432.0,True
2023-04-09,880,9,-8.133333333333333,-1.7209532690621183,414.0,266.5,185.96666666666667,1366.6666666666665,True
2023-04-10,718,7,-8.8,-2.2060565022017973,482.7142857142857,304.92857142857144,207.3,202.95358649789029,True
2023-04-12,913,6,-8.516666666666667,-1.661570265153922,604.2857142857143,364.42857142857144,235.06666666666666,1372.5806451612905,True
2023-06-09,1992,8,-10.0,2.2780388220400676,703.2857142857143,500.07142857142856,302.9,160.05221932114884,True
2024-05-19,314,3,-9.066666666666666,-2.0424874797856565,102.14285714285714,106.35714285714286,269.93333333333334,554.1666666666667,True
2024-05-23,519,4,-7.2,-4.332607923999317,167.42857142857142,136.0,257.9,737.0967741935484,True
2024-05-25,231,1,-7.2,-3.30091282269956,192.28571428571428,140.85714285714286,212.7,413.33333333333337,True
2024-05-28,240,1,-7.2,-4.53217893352447,220.57142857142858,143.85714285714286,216.7,471.42857142857144,True
2024-08-19,308,2,-10.0,-7.303354990696425,130.28571428571428,161.28571428571428,152.13333333333333,33.33333333333333,True
2024-08-20,690,1,-10.0,-2.39665333502201,194.57142857142858,207.57142857142858,165.73333333333332,187.5,True
2024-12-11,867,6,-7.2,-1.23077972455495,206.85714285714286,222.42857142857142,174.13333333333333,329.20792079207916,True
2025-02-27,2049,4,-9.75,-3.97356676897711,470.57142857142856,302.35714285714283,240.86666666666667,1205.095541401274,True
2025-04-01,476,4,-8.475,-5.13101389274037,414.7142857142857,310.7857142857143,255.23333333333332,-45.09803921568627,True
2025-12-30,576,5,-8.32,-3.673383503370016,128.57142857142858,144.14285714285714,241.63333333333333,928.5714285714287,True
2026-01-01,262,1,-7.2,-3.18187033839768,158.85714285714286,159.85714285714286,240.1,424.0,True
