사건,날짜,mentions,① mentions만,② 위치 중심,③ 위치+급증도,④ grid 최적,⑤ 우리 config★
중국 대만 주변 포위형 군사활동,2025-12-29,262.0,1.0,0.4375,0.408,0.3397,0.4943
Strait Thunder-2025A,2025-04-01,214.0,1.0,0.605,0.5649,0.5529,0.5426
대만 해안 실사격 훈련,2025-02-27,1026.0,1.0,0.8125,0.6927,0.6884,0.8003
Joint Sword-2024B,2024-10-14,96.0,1.0,0.375,0.375,0.3,0.391
Joint Sword-2024A,2024-05-23,231.0,1.0,0.6474,0.5977,0.5743,0.5922
라이칭더 총통 당선,2024-01-13,22.0,0.0,0.1875,0.1875,0.25,0.1625
라이칭더 미국 경유 방문,2023-08-12,154.0,1.0,0.2875,0.1878,0.1504,0.3726
Shandong 대만 동부 작전·Joint Sword,2023-04-05,424.0,1.0,0.625,0.6348,0.6367,0.6438
금문도 드론 격추,2022-08-31,682.0,1.0,0.7653,0.6241,0.6239,0.7233
대만 포위 실사격 훈련,2022-08-04,1420.0,1.0,0.625,0.8125,0.85,0.7486
Pelosi 대만 방문,2022-08-02,1465.0,1.0,0.625,0.8125,0.85,0.7486
Pelosi 방문 직전 군사훈련,2022-07-30,1465.0,1.0,0.625,0.3857,0.4129,0.6293
역대 최대 ADIZ 진입,2021-10-01,840.0,1.0,0.4375,0.2889,0.3538,0.5312
대만 군사 방어 훈련,2021-01-19,1406.0,1.0,0.625,0.462,0.5044,0.6598
미국 대만해협 통과,2020-12-31,1190.0,1.0,0.625,0.4605,0.4026,0.6254
미국 국무차관 대만 방문,2020-09-17,463.0,1.0,0.625,0.3887,0.3164,0.5805
미국 보건장관 대만 방문,2020-08-09,54.0,0.283,0.1875,0.1875,0.25,0.1716
대만해협 중간선 침범,2019-03-31,,,,,,
대만해협 실사격 훈련,2018-04-18,184.0,1.0,0.8125,0.5707,0.4598,0.7164
차이잉원 취임,2016-05-20,1468.0,1.0,0.4375,0.2156,0.3437,0.5315
