SQLDATE,EventRootCode,QuadClass,GLOBALEVENTID,EventCode,Actor1Name,Actor2Name,Actor1CountryCode,Actor2CountryCode,Actor1Type1Code,GoldsteinScale,NumMentions,AvgTone,ActionGeo_Type,ActionGeo_Lat,ActionGeo_Long,SOURCEURL
2025-06-01,19,4,1247247822,190,TAIWAN,BEIJING,TWN,CHN,,,8,-6.79738562091503,4,39.9289,116.388,https://techstory.in/china-accuses-taiwan-of-cyberattack-in-latest-cross-strait-tensions/
2025-06-01,19,4,1247247008,190,BEIJING,TAIWAN,CHN,TWN,,,8,-6.79738562091503,4,39.9289,116.388,https://techstory.in/china-accuses-taiwan-of-cyberattack-in-latest-cross-strait-tensions/
2022-12-31,15,4,1078256538,150,CHINA,TAIWAN,CHN,TWN,,,1,-1.88679245283019,4,42.3333,44.0,https://www.thetelegraphandargus.co.uk/news/23221487.bradford-mp-speaks-russia-china-report-released/
2022-10-09,19,4,1066783624,190,TAIWAN,CHINESE,TWN,CHN,,,10,-3.50877192982456,4,29.8443,117.719,https://www.taiwannews.com.tw/en/news/4656604
2022-10-09,19,4,1066783625,193,KINMEN COUNTY,CHINESE,TWN,CHN,,,6,-3.50877192982456,4,29.8443,117.719,https://www.taiwannews.com.tw/en/news/4656604
2022-10-09,19,4,1066783626,193,TAIWAN,CHINESE,TWN,CHN,,,4,-3.50877192982456,4,25.0478,121.532,https://www.taiwannews.com.tw/en/news/4656604
2022-10-09,19,4,1066783627,193,TAIWAN,CHINESE,TWN,CHN,,,10,-3.50877192982456,4,25.0478,121.532,https://www.taiwannews.com.tw/en/news/4656604
2022-10-09,19,4,1066766901,190,TAIWAN,CHINA,TWN,CHN,GOV,,16,2.08472057999108,4,39.9289,116.388,https://news.yahoo.com/taiwan-president-pledge-bolster-combat-150820280.html
2022-10-09,19,4,1066782635,190,TAIWAN,CHINA,TWN,CHN,GOV,,28,1.93168277505626,4,39.9289,116.388,https://newsinfo.inquirer.net/1677577/taiwan-president-will-pledge-to-bolster-combat-power-as-china-tensions-rise
2022-10-09,19,4,1066782636,190,TAIWAN,CHINA,TWN,CHN,GOV,,2,2.41758241758241,4,25.0478,121.532,https://newsinfo.inquirer.net/1677577/taiwan-president-will-pledge-to-bolster-combat-power-as-china-tensions-rise
2022-10-09,19,4,1066766902,190,TAIWAN,CHINA,TWN,CHN,GOV,,54,1.92049253805816,4,25.0478,121.532,https://news.yahoo.com/taiwan-president-pledge-bolster-combat-150820280.html
2022-10-09,15,4,1066740164,152,TAIWAN,CHINESE,TWN,CHN,,MIL,6,-1.95924764890282,4,49.9808,36.2527,https://eurasiantimes.com/us-to-arm-both-ukraine-taiwan-with-deadly-vampire-systems/
2026-05-31,19,4,1306723335,190,CHINA,TAIWAN,CHN,TWN,,,2,-1.75879396984925,4,25.0478,121.532,https://economictimes.indiatimes.com/news/defence/japan-refutes-new-militarism-accuses-china-of-rapidly-arming/articleshow/131418132.cms
2025-01-11,15,4,1220048268,154,TAIWANESE,CHINESE,TWN,CHN,,,4,0.24096385542168,4,39.9289,116.388,https://www.bignewsnetwork.com/news/274932735/taiwan-to-deploy-new-us-supplied-missile-defense-systems
2025-01-11,15,4,1220048272,154,TAIWANESE,CHINESE,TWN,CHN,GOV,MIL,6,0.24096385542168,4,39.9289,116.388,https://www.bignewsnetwork.com/news/274932735/taiwan-to-deploy-new-us-supplied-missile-defense-systems
2022-08-13,19,4,1058451745,194,CHINA,TAIWAN,CHN,TWN,,,25,-3.23575367616261,4,39.9289,116.388,https://www.indiatoday.in/world/story/us-committed-to-one-china-policy-doesn-t-support-taiwan-independence-ned-price-1987507-2022-08-13
2022-08-13,19,4,1058433639,194,CHINA,TAIWAN,CHN,TWN,,,8,-2.54777070063694,4,39.9289,116.388,https://www.newsweek.com/us-will-continue-defend-taiwan-chinas-threats-white-house-1733393
2022-08-13,15,4,1058438166,151,CHINA,TAIWAN,CHN,TWN,,,20,-1.12079701120797,4,39.9289,116.388,https://www.wyomingpublicmedia.org/2022-08-12/heres-what-chinas-show-of-force-could-mean-for-taiwan
2022-08-13,19,4,1058439434,193,CHINA,TAIWAN,CHN,TWN,,,10,-5.01700223230928,4,39.9289,116.388,https://www.ibtimes.com/taiwans-frontline-islanders-unfazed-beat-china-war-drum-3601451
2022-08-13,15,4,1058490609,150,CHINA,TAIWAN,CHN,TWN,,,2,-0.55710306406685,4,39.9289,116.388,https://www.wionews.com/world/taiwan-expressed-sincere-gratitude-to-united-states-for-maintaining-security-in-taiwan-strait-506568
2022-08-13,15,4,1058490610,150,CHINA,TAIWAN,CHN,TWN,,,3,-0.55710306406685,4,24.0,121.0,https://www.wionews.com/world/taiwan-expressed-sincere-gratitude-to-united-states-for-maintaining-security-in-taiwan-strait-506568
2022-08-13,15,4,1058438167,151,CHINA,TAIWAN,CHN,TWN,,,30,-1.12079701120797,4,24.0,119.0,https://www.wyomingpublicmedia.org/2022-08-12/heres-what-chinas-show-of-force-could-mean-for-taiwan
2022-08-13,15,4,1058501428,150,CHINESE,TAIWAN,CHN,TWN,,,2,-1.29449838187702,4,25.0478,121.532,https://hindustannewshub.com/world-news/what-steps-will-america-take-in-support-of-taiwan-amidst-chinas-threat-the-white-house-issued-a-statement/
2022-08-13,19,4,1058501429,190,CHINESE,TAIWAN,CHN,TWN,,,2,-1.29449838187702,4,25.0478,121.532,https://hindustannewshub.com/world-news/what-steps-will-america-take-in-support-of-taiwan-amidst-chinas-threat-the-white-house-issued-a-statement/
2022-08-13,15,4,1058501431,150,CHINESE,TAIWAN,CHN,TWN,MIL,,4,-1.29449838187702,4,25.0478,121.532,https://hindustannewshub.com/world-news/what-steps-will-america-take-in-support-of-taiwan-amidst-chinas-threat-the-white-house-issued-a-statement/
2022-08-13,19,4,1058501432,190,CHINESE,TAIWAN,CHN,TWN,MIL,,3,-1.29449838187702,4,39.9289,116.388,https://hindustannewshub.com/world-news/what-steps-will-america-take-in-support-of-taiwan-amidst-chinas-threat-the-white-house-issued-a-statement/
2022-08-13,19,4,1058501433,190,CHINA,TAIWAN,CHN,TWN,MIL,,2,-1.29449838187702,4,25.0478,121.532,https://hindustannewshub.com/world-news/what-steps-will-america-take-in-support-of-taiwan-amidst-chinas-threat-the-white-house-issued-a-statement/
2022-08-13,19,4,1058433640,194,CHINA,TAIWAN,CHN,TWN,,,2,-2.54777070063694,4,25.0478,121.532,https://www.newsweek.com/us-will-continue-defend-taiwan-chinas-threats-white-house-1733393
2022-08-13,19,4,1058439435,193,CHINA,TAIWAN,CHN,TWN,,,26,-4.95757731520669,4,24.4798,118.082,https://www.ibtimes.com/taiwans-frontline-islanders-unfazed-beat-china-war-drum-3601451
2023-02-16,19,4,1085193708,190,CHINA,TAIWAN,CHN,TWN,,,2,-3.90220559446644,5,29.0,120.0,"https://www.thestandard.com.hk/breaking-news/section/3/200405/Taiwan-finds-crashed-weather-balloon-on-remote-island,-likely-Chinese"
2023-02-16,19,4,1085217152,190,CHINA,TAIWAN,CHN,TWN,,,4,-3.77433745974533,5,29.0,120.0,https://wkzo.com/2023/02/16/taiwan-finds-crashed-weather-balloon-on-remote-island-likely-chinese/
2023-02-16,19,4,1085217153,190,CHINA,TAIWAN,CHN,TWN,,,4,-3.77433745974533,4,25.0478,121.532,https://wkzo.com/2023/02/16/taiwan-finds-crashed-weather-balloon-on-remote-island-likely-chinese/
2022-09-03,19,4,1061377484,193,TAIWANESE,CHINESE,TWN,CHN,,,2,-2.21130221130222,4,39.9289,116.388,https://www.indiatvnews.com/news/world/taiwan-shoots-down-civilian-drone-off-chinese-coast-2022-09-03-805069
2022-09-03,15,4,1061380946,150,CHINA,TAIWAN,CHN,TWN,,,5,-4.42477876106195,4,39.9289,116.388,http://www.msn.com/en-us/news/world/china-has-gone-mad-for-drones-and-is-using-them-to-keep-up-the-pressure-on-taiwans-remote-military-outposts/ar-AA11oD6c
2022-09-03,15,4,1061426326,154,TAIWAN,CHINA,TWN,CHN,,,10,-4.1044776119403,4,39.9289,116.388,https://nationalinterest.org/blog/buzz/why-taiwan-needs-start-dialogue-china-204579
2022-09-03,19,4,1061377485,193,TAIWANESE,CHINESE,TWN,CHN,,,6,-2.21130221130222,4,23.57,119.57,https://www.indiatvnews.com/news/world/taiwan-shoots-down-civilian-drone-off-chinese-coast-2022-09-03-805069
2022-09-03,15,4,1061380948,150,CHINA,TAIWAN,CHN,TWN,,,1,-4.42477876106195,4,25.0478,121.532,http://www.msn.com/en-us/news/world/china-has-gone-mad-for-drones-and-is-using-them-to-keep-up-the-pressure-on-taiwans-remote-military-outposts/ar-AA11oD6c
2022-09-03,15,4,1061380947,150,CHINA,TAIWAN,CHN,TWN,,,4,-4.42477876106195,5,24.4533,118.389,http://www.msn.com/en-us/news/world/china-has-gone-mad-for-drones-and-is-using-them-to-keep-up-the-pressure-on-taiwans-remote-military-outposts/ar-AA11oD6c
2023-01-01,19,4,1078326228,192,BEIJING,TAIWAN,CHN,TWN,,,4,-2.52672497570456,4,39.9289,116.388,https://www.theepochtimes.com/land-of-the-rising-nukes_4954276.html
2023-01-01,19,4,1078326230,192,CHINA,TAIWAN,CHN,TWN,,,2,-2.52672497570456,4,39.9289,116.388,https://www.theepochtimes.com/land-of-the-rising-nukes_4954276.html
2022-07-10,15,4,1053408350,150,TAIWAN,CHINA,TWN,CHN,,MIL,2,-2.10772833723654,4,24.1098,113.005,https://focustaiwan.tw/politics/202207100007
2022-07-10,19,4,1053427199,192,TAIWAN,CHINA,TWN,CHN,,,8,-2.19617224880382,4,24.1098,113.005,https://www.taipeitimes.com/News/taiwan/archives/2022/07/11/2003781544
2022-07-10,19,4,1053443406,190,TAIPEI,CHINA,TWN,CHN,,,2,-2.0,4,24.1098,113.005,https://news.ltn.com.tw/news/focus/breakingnews/3987981
2022-07-09,19,4,1053426439,190,TAIPEI,CHINESE,TWN,CHN,,,10,-2.19617224880382,4,25.0478,121.532,https://www.taipeitimes.com/News/taiwan/archives/2022/07/11/2003781544
2022-07-10,19,4,1053427198,190,TAIPEI,CHINESE,TWN,CHN,,,8,-2.19617224880382,4,25.0478,121.532,https://www.taipeitimes.com/News/taiwan/archives/2022/07/11/2003781544
2022-07-10,19,4,1053427200,192,TAIPEI,CHINA,TWN,CHN,,,6,-2.19617224880382,4,25.1725,121.421,https://www.taipeitimes.com/News/taiwan/archives/2022/07/11/2003781544
2024-06-28,15,4,1184370166,154,BEIJING,TAIWAN,CHN,TWN,,,8,-3.11475409836066,4,39.9289,116.388,https://www.rfa.org/english/news/southchinasea/china-taiwan-patrols-06282024035541.html
2024-06-28,15,4,1184370167,154,BEIJING,TAIWAN,CHN,TWN,,,2,-3.11475409836066,4,39.9289,116.388,https://www.rfa.org/english/news/southchinasea/china-taiwan-patrols-06282024035541.html
2022-07-26,15,4,1055719741,151,BEIJING,TAIWAN,CHN,TWN,,,1,-3.55871886120997,4,25.0478,121.532,http://www.arirang.co.kr/News/News_View.asp?sys_lang=Eng&nseq=304361
2022-07-26,19,4,1055776145,195,TAIWAN,CHINESE,TWN,CHN,,,1,-4.95867768595041,4,25.0478,121.532,https://www.avpress.com/news/newsline/taiwan-holds-drills-amid-concern-about-visit/article_28651dca-0c8f-11ed-b9cc-bbe519af4fee.html
2022-07-26,19,4,1055796012,192,CHINA,TAIWAN,CHN,TWN,,,5,-2.36318407960199,4,39.9289,116.388,https://hotair.com/jazz-shaw/2022/07/26/china-doubles-down-on-pelosis-taiwan-trip-n485154
2022-07-26,19,4,1055776144,195,TAIWAN,CHINESE,TWN,CHN,,,1,-4.95867768595041,4,25.0478,121.532,https://www.avpress.com/news/newsline/taiwan-holds-drills-amid-concern-about-visit/article_28651dca-0c8f-11ed-b9cc-bbe519af4fee.html
2022-07-26,15,4,1055830944,150,TAIWAN,CHINA,TWN,CHN,,,2,-2.97029702970296,4,25.0478,121.532,https://www.cbsnews.com/news/taiwan-military-defense-exercises-china/
2022-07-26,15,4,1055719740,151,BEIJING,TAIWAN,CHN,TWN,,,11,-2.32584076000446,4,25.0478,121.532,http://www.arirang.co.kr/News/News_View.asp?sys_lang=Eng&nseq=304361
