OBJECT_NAME,NORAD_CAT_ID,COUNTRY_CODE,APOAPSIS,RCS_SIZE,sensor_type,Detailed Purpose,LAUNCH_DATE,DECAY_DATE,TLE_LINE1,TLE_LINE2
ZHUHAI-1 03B,44536,PRC,416.8,MEDIUM,OPT_HR,Hyperspectral Imaging,2019-09-19,,1 44536U 19060C   26140.67484880  .00019613  00000-0  32184-3 0  9997,2 44536  97.5512 296.9951 0009253  64.1094 296.1111 15.52428176372056
GRUS-1B,47934,JPN,577.4,MEDIUM,OPT_HR,Optical Imaging,2021-03-22,,1 47934U 21022C   26140.67370235  .00000590  00000-0  53409-4 0  9999,2 47934  97.5402  24.7716 0016902  55.7584 304.5237 14.98904692281776
BEIJING 1 (TSINGHUA),28890,PRC,689.0,MEDIUM,OPT_HR,Optical Imaging,2005-10-27,,1 28890U 05043A   26140.66639637  .00000216  00000-0  51039-4 0  9999,2 28890  98.2880 273.7317 0014909  13.1098 347.0488 14.63514002 96622
SUPERVIEW NEO-1 02,52322,PRC,524.5,LARGE,OPT_HR,Optical Imaging,2022-04-29,,1 52322U 22043C   26140.65815593  .00002879  00000-0  15241-3 0  9992,2 52322  97.3402 214.3419 0003348  81.8359 278.3254 15.16194723225400
SKYSAT C8,42990,US,464.0,MEDIUM,OPT_HR,Optical Imaging,2017-10-31,,1 42990U 17068D   26140.65372782  .00007471  00000-0  21294-3 0  9999,2 42990  97.4493 276.9461 0001609 110.5725 249.5691 15.36372945478082
SPOT 7,40053,AZER,697.3,LARGE,OPT_HR,Optical Imaging,2014-06-30,,1 40053U 14034A   26140.64873872  .00000529  00000-0  11733-3 0  9996,2 40053  98.0637 203.8479 0001284  79.8747 280.2599 14.60931928633119
SKYSAT C7,42991,US,464.2,MEDIUM,OPT_HR,Optical Imaging,2017-10-31,,1 42991U 17068E   26140.64634842  .00007551  00000-0  21552-3 0  9993,2 42991  97.4503 277.9263 0005859 192.3610 167.7491 15.36312733478143
ICEYE-X2,43800,FIN,521.0,MEDIUM,SAR,Radar Imaging (SAR),2018-12-03,,1 43800U 18099AU  26140.64541722  .00006119  00000-0  30947-3 0  9999,2 43800  97.4366 194.9779 0011354  46.8196 313.3984 15.17344922408647
ICEYE-X4,44390,FIN,487.1,MEDIUM,SAR,Radar Imaging,2019-07-05,,1 44390U 19038D   26140.64526103  .00008903  00000-0  32200-3 0  9991,2 44390  97.8777 171.9501 0014406  47.9359 312.3102 15.28597445377596
SKYSAT C9,42989,US,450.8,MEDIUM,OPT_HR,Optical Imaging,2017-10-31,,1 42989U 17068C   26140.64492771  .00009015  00000-0  22189-3 0  9997,2 42989  97.4397 277.9172 0007674 228.2925 131.7666 15.40812878478511
LINGQIAO VIDEO B,40960,PRC,644.5,MEDIUM,OPT_HR,Optical Imaging (video),2015-10-07,,1 40960U 15057C   26140.63903677  .00000597  00000-0  90408-4 0  9997,2 40960  97.6584 137.9732 0017161   4.8033 355.3340 14.77455112571380
GRUS-1E,47935,JPN,575.9,MEDIUM,OPT_HR,Optical Imaging,2021-03-22,,1 47935U 21022D   26140.63881507  .00001397  00000-0  11860-3 0  9995,2 47935  97.5462  25.9224 0014680  59.4034 300.8635 14.99394382281829
PLEIADES 1B,39019,FR,705.0,LARGE,OPT_HR,Optical Imaging,2012-12-02,,1 39019U 12068A   26140.63880869  .00000297  00000-0  73689-4 0  9995,2 39019  98.1948 216.0687 0001337 102.3490 257.7859 14.58541051716838
ZHUHAI-1 03D,44538,PRC,429.5,MEDIUM,OPT_HR,Hyperspectral Imaging,2019-09-19,,1 44538U 19060E   26140.63801132  .00021375  00000-0  40904-3 0  9995,2 44538  97.5371 289.3204 0007730  51.6531 308.5413 15.48057520371815
GLOBAL-19,55982,US,457.9,MEDIUM,OPT_HR,Optical Imaging,2023-03-24,,1 55982U 23041B   26140.63595777  .00010189  00000-0  26930-3 0  9993,2 55982  42.0027   2.6279 0005515 161.2732 198.8312 15.38425729177687
NOVASAR 1,43619,UK,585.8,LARGE,SAR,Radar Imaging,2018-09-16,,1 43619U 18071B   26140.63498497 -.00000417  00000-0 -32157-4 0  9999,2 43619  97.5096  14.0806 0001421  94.4597 265.6787 14.96210546418817
PNEO3,48268,FR,631.2,LARGE,OPT_HR,Optical Imaging,2021-04-29,,1 48268U 21034A   26140.63236868  .00001172  00000-0  15547-3 0  9999,2 48268  97.8931 215.7948 0001487  97.0962 263.0420 14.81674083273579
KOMPSAT 5,39227,SKOR,560.2,LARGE,SAR,Radar Imaging,2013-08-22,,1 39227U 13042A   26140.63162404  .00000352  00000-0  29443-4 0  9998,2 39227  97.6207 327.7195 0002398 195.2795 164.8359 15.04501045699713
KOMPSAT 2,29268,SKOR,685.4,LARGE,OPT_HR,Optical Imaging,2006-07-28,,1 29268U 06031A   26140.63024968  .00000001  00000-0  86125-5 0  9996,2 29268  97.8304 326.4104 0014897 155.6083 295.5034 14.64639499 57440
ICEYE-X7,46496,FIN,480.5,MEDIUM,SAR,Radar Imaging,2020-09-28,,1 46496U 20068L   26140.62895529  .00008114  00000-0  27468-3 0  9998,2 46496  97.7492 105.9223 0009773  70.4013 289.8281 15.30835132310577
