Current Official Name of Satellite,NORAD Number,Detailed Purpose,Users,sensor_type
1HOPSAT-TD,44859,Infrared Imaging,Commercial,EO
Arthur,48953,Optical Imaging,Commercial,EO
Beijing-3,48840,Optical Imaging,Commercial,EO
BeijinGalaxy-1,28890,Optical Imaging,Commercial,EO
Beiyou-1,55257,Radar Imaging,Commercial,SAR
BlackSky Global 1,43730,Optical Imaging,Commercial,EO
BlackSky Global 14,49469,Optical Imaging,Commercial,EO
BlackSky Global 15,49470,Optical Imaging,Commercial,EO
BlackSky Global 16,49950,Optical Imaging,Commercial,EO
BlackSky Global 17,49949,Optical Imaging,Commercial,EO
BlackSky Global 18,52196,Optical Imaging,Commercial,EO
BlackSky Global 19,55982,Optical Imaging,Commercial,EO
BlackSky Global 2,43812,Optical Imaging,Commercial,EO
BlackSky Global 20,52197,Optical Imaging,Commercial,EO
BlackSky Global 3,44367,Optical Imaging,Commercial,EO
BlackSky Global 4,44499,Optical Imaging,Commercial,EO
BlackSky Global 5,55983,Optical Imaging,Commercial,EO
BlackSky Global 7,46088,Optical Imaging,Commercial,EO
BlackSky Global 8,46089,Optical Imaging,Commercial,EO
BlackSky Global 9,47971,Optical Imaging,Commercial,EO
BlackSky Pathfinder 1,41787,Optical Imaging,Commercial,EO
Capella-8,55910,Radar Imaging (SAR),Commercial,SAR
Capella-6,48605,Radar Imaging (SAR),Commercial,SAR
Capella-7,51072,Radar Imaging (SAR),Commercial,SAR
Capella-8,51071,Radar Imaging (SAR),Commercial,SAR
Capella-9,55909,Radar Imaging (SAR),Commercial,SAR
Chaohu-1,51843,Radar Imaging,Commercial,SAR
Connecta T2-1,56210,Multispectral Imaging,Commercial,EO
DMC 3-1,40715,Optical Imaging,Commercial,EO
DMC 3-2,40716,Optical Imaging,Commercial,EO
DMC 3-3,40717,Optical Imaging,Commercial,EO
Dove 3k-10,43905,Optical Imaging,Commercial,EO
Dove 3k-4,43893,Optical Imaging,Commercial,EO
Dove 3k-5,43899,Optical Imaging,Commercial,EO
Dove 3k-7,43902,Optical Imaging,Commercial,EO
Dove 3k-9,43906,Optical Imaging,Commercial,EO
Dove 3m-4,42997,Optical Imaging,Commercial,EO
Dove 3p-11,41975,Optical Imaging,Commercial,EO
Dove  3p-12,41972,Optical Imaging,Commercial,EO
Dove 3p-2,41966,Optical Imaging,Commercial,EO
Dove  3p-23,42018,Optical Imaging,Commercial,EO
Dove 3p-37,41968,Optical Imaging,Commercial,EO
Dove 3p-32,42023,Optical Imaging,Commercial,EO
Dove 3p-33,41990,Optical Imaging,Commercial,EO
Dove 3p-34,41988,Optical Imaging,Commercial,EO
Dove 3p-4,41965,Optical Imaging,Commercial,EO
Dove 3p-46,42031,Optical Imaging,Commercial,EO
Dove 3p-49,42001,Optical Imaging,Commercial,EO
Dove 3p-50,42029,Optical Imaging,Commercial,EO
Dove 3p-54,42014,Optical Imaging,Commercial,EO
Dove 3p-55,42041,Optical Imaging,Commercial,EO
Dove 3p-57,41978,Optical Imaging,Commercial,EO
Dove 3p-58,41977,Optical Imaging,Commercial,EO
Dove 3p-61,42009,Optical Imaging,Commercial,EO
Dove 3p-64,42034,Optical Imaging,Commercial,EO
Dove 3p-65,42028,Optical Imaging,Commercial,EO
Dove 3p-66,42027,Optical Imaging,Commercial,EO
Dove 3p-74,42048,Optical Imaging,Commercial,EO
Dove 3p-76,42019,Optical Imaging,Commercial,EO
Dove 3p-80,42026,Optical Imaging,Commercial,EO
Dove 3r-1,43747,Optical Imaging,Commercial,EO
Dove 3r-11,43725,Optical Imaging,Commercial,EO
Dove 3r-12,43724,Optical Imaging,Commercial,EO
Dove 3r-4,43733,Optical Imaging,Commercial,EO
Dove 3r-7,43741,Optical Imaging,Commercial,EO
Dove 3r-7,43742,Optical Imaging,Commercial,EO
Dove 3r-9,43723,Optical Imaging,Commercial,EO
Dove 3s-1,43769,Optical Imaging,Commercial,EO
Dove 4a-17,44088,Optical Imaging,Commercial,EO
Dove 4a-19,44090,Optical Imaging,Commercial,EO
Dove 4a-2,44080,Optical Imaging,Commercial,EO
Dove 4a-5,44095,Optical Imaging,Commercial,EO
Dove 4a-9,44098,Optical Imaging,Commercial,EO
Dove 4e'-1,46813,Optical Imaging,Commercial,EO
Dove 4e’-2,46820,Optical Imaging,Commercial,EO
Dove 4e’-3 ,46819,Optical Imaging,Commercial,EO
Dove 4e’-4 ,46821,Optical Imaging,Commercial,EO
Dove 4e’-5 ,46817,Optical Imaging,Commercial,EO
Dove 4e’-6 ,46822,Optical Imaging,Commercial,EO
Dove 4e'-8,46814,Optical Imaging,Commercial,EO
Dove 4e’-8,46816,Optical Imaging,Commercial,EO
Dove 4e’-9 ,46815,Optical Imaging,Commercial,EO
Dove 4p-1,44814,Multispectral Imaging,Commercial,EO
Dove 4p-10,44808,Multispectral Imaging,Commercial,EO
Dove 4p-11,44809,Multispectral Imaging,Commercial,EO
Dove 4p-3,44812,Multispectral Imaging,Commercial,EO
Dove 4p-4,44811,Multispectral Imaging,Commercial,EO
Dove 4p-5,44818,Multispectral Imaging,Commercial,EO
Dove 4p-7,44816,Multispectral Imaging,Commercial,EO
Dove 4s-1 ,47543,Optical Imaging,Commercial,EO
Dove 4s-10 ,47523,Optical Imaging,Commercial,EO
Dove 4s-11 ,47462,Optical Imaging,Commercial,EO
Dove 4s-12 ,47471,Optical Imaging,Commercial,EO
Dove 4s-13 ,47472,Optical Imaging,Commercial,EO
Dove 4s-14 ,47528,Optical Imaging,Commercial,EO
Dove 4s-15 ,47521,Optical Imaging,Commercial,EO
Dove 4s-16 ,47516,Optical Imaging,Commercial,EO
Dove 4s-17 ,47492,Optical Imaging,Commercial,EO
Dove 4s-18 ,47496,Optical Imaging,Commercial,EO
Dove 4s-19 ,47500,Optical Imaging,Commercial,EO
Dove 4s-2 ,47498,Optical Imaging,Commercial,EO
Dove 4s-20 ,47540,Optical Imaging,Commercial,EO
Dove 4s-21 ,47456,Optical Imaging,Commercial,EO
Dove 4s-22 ,47452,Optical Imaging,Commercial,EO
Dove 4s-23 ,47545,Optical Imaging,Commercial,EO
Dove 4s-24 ,47539,Optical Imaging,Commercial,EO
Dove 4s-25 ,47542,Optical Imaging,Commercial,EO
Dove 4s-27 ,47495,Optical Imaging,Commercial,EO
Dove 4s-28 ,47514,Optical Imaging,Commercial,EO
Dove 4s-3 ,47494,Optical Imaging,Commercial,EO
Dove 4s-30 ,47544,Optical Imaging,Commercial,EO
