OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
CALSPHERE 1,1964-063C,2026-05-20T18:10:54.567264,13.76589372,.00275374,90.2234,71.1238,20.3579,12.1178,0,U,900,999,6765,.48388433E-3,.485E-5,0
CALSPHERE 2,1964-063E,2026-05-20T19:23:39.879744,13.52897821,.00170697,90.2369,75.1358,311.4700,80.5259,0,U,902,999,85256,.74173744E-4,.58E-6,0
LCS 1,1965-034C,2026-05-20T16:56:21.232320,9.89310410,.00127139,32.1404,242.2815,23.4432,336.6644,0,U,1361,999,20716,.1779043E-2,.22E-6,0
TEMPSAT 1,1965-065E,2026-05-20T22:12:42.048288,13.33592524,.00683995,90.0008,212.5894,326.5945,209.7625,0,U,1512,999,95641,.39937584E-4,.28E-6,0
CALSPHERE 4A,1965-065H,2026-05-20T23:13:21.625824,13.36272639,.00696608,89.8965,122.7578,178.6012,237.4886,0,U,1520,999,95907,.13610161E-3,.8E-6,0
OPS 5712 (P/L 160),1967-053A,2026-05-20T21:37:03.213696,14.77275183,.00014811,69.9163,105.1539,259.1489,100.9492,0,U,2826,999,6220,.72434509E-3,.5072E-4,0
LES-5,1967-066E,2026-05-20T16:48:07.757856,1.09425243,.00530798,2.5605,97.1426,213.3874,359.8213,0,U,2866,999,13073,0,-.56E-6,0
SURCAL 159,1967-053F,2026-05-20T12:00:20.189952,13.99595499,.00061127,69.9748,60.4470,174.4227,185.6950,0,U,2872,999,633,.68987303E-4,.47E-6,0
OPS 5712 (P/L 153),1967-053H,2026-05-20T15:00:29.054592,13.96824058,.0009709,69.9723,174.3833,241.6869,118.3258,0,U,2874,999,294,.24265218E-4,-.2E-6,0
RIGIDSPHERE 2 (LCS 4),1971-067E,2026-05-20T21:52:30.408384,14.37834925,.00585946,87.6219,346.3885,325.3073,34.4310,0,U,5398,999,86996,.11797966E-3,.38E-5,0
OSCAR 7 (AO-7),1974-089B,2026-05-20T11:26:21.625152,12.53697590,.00122577,101.9911,153.4337,182.2122,345.1959,0,U,7530,999,35704,-.52642149E-4,-.55E-6,0
STARLETTE,1975-010A,2026-05-20T21:48:42.665760,13.82350175,.02055792,49.8250,212.2706,332.9208,26.1079,0,U,7646,999,59076,.8120986E-5,-.132E-5,0
LAGEOS 1,1976-039A,2026-05-20T21:37:00.506784,6.38664681,.00446761,109.8034,169.9998,308.1172,219.1193,0,U,8820,999,91139,0,.4E-7,0
PHASE 3B (AO-10),1983-058B,2026-05-20T04:55:53.101344,2.05872908,.60205646,25.8960,224.2131,107.9633,323.3103,0,U,14129,999,29491,0,-.279E-5,0
UOSAT 2 (UO-11),1984-021B,2026-05-20T21:39:59.954400,14.90709422,.00060201,97.8043,106.7870,276.3707,83.6825,0,U,14781,999,25306,.80211088E-4,.731E-5,0
AJISAI (EGS),1986-061A,2026-05-20T20:26:41.739936,12.44516380,.00113807,50.0086,231.4517,111.3059,51.0921,0,U,16908,999,47698,.20856042E-3,-.68E-6,0
TDRS 3,1988-091B,2026-05-20T10:34:39.959328,1.00265515,.00395615,12.6233,341.1891,357.1744,9.4015,0,U,19548,999,12511,0,-.309E-5,0
COSMOS 1989 (ETALON 1),1989-001C,2026-05-20T07:48:14.866848,2.13155895,.00233275,64.9305,73.1479,217.6352,327.1472,0,U,19751,999,29077,0,-.8E-7,0
COSMOS 2024 (ETALON 2),1989-039C,2026-05-20T20:06:16.312320,2.13204499,.00206182,64.9522,311.4774,212.6597,158.2765,0,U,20026,999,28792,0,-.34E-6,0
FLTSATCOM 8 (USA 46),1989-077A,2026-05-20T15:57:34.541568,1.00268271,.00062254,12.4293,351.3317,28.6941,223.3798,0,U,20253,999,26028,0,-.377E-5,0
LUSAT (LO-19),1990-005G,2026-05-20T06:35:08.388960,14.34113546,.0010482,98.8865,161.3091,290.1034,69.9021,0,U,20442,999,89839,.38515E-4,.61E-6,0
HST,1990-037B,2026-05-20T16:37:52.117248,15.30432412,.00015658,28.4745,268.4391,182.8625,177.1962,0,U,20580,999,78435,.14635577E-3,.4662E-4,0
SKYNET 4C,1990-079A,2026-05-20T17:48:46.942272,1.00273580,.00024841,13.3487,350.0058,51.0994,137.8281,0,U,20776,999,13061,0,.116E-5,0
TDRS 5,1991-054B,2026-05-20T07:51:38.459808,1.00279839,.00070731,14.0752,353.9891,277.7036,276.7616,0,U,21639,999,12743,0,.76E-6,0
LAGEOS 2,1992-070B,2026-05-20T08:42:31.398624,6.47293622,.01377538,52.6605,284.2453,175.1307,224.2822,0,U,22195,999,79362,0,-.9E-7,0
TDRS 6,1993-003B,2026-05-20T22:34:19.397856,1.00264719,.00070443,14.1827,357.2637,171.9750,1.8696,0,U,22314,999,12213,0,-.307E-5,0
SCD 1,1993-009B,2026-05-20T18:20:35.372256,14.46107080,.00418507,24.9711,16.8921,207.5558,196.9290,0,U,22490,999,75714,.37125845E-4,.322E-5,0
UFO 2 (USA 95),1993-056A,2026-05-20T19:59:38.728896,1.00276019,.00082541,11.8857,3.7072,1.5071,201.8282,0,U,22787,999,11827,0,.115E-5,0
STELLA,1993-061B,2026-05-20T22:45:23.251392,14.27469613,.00056672,98.7737,205.0999,324.7585,213.0254,0,U,22824,999,70088,.5499318E-5,-.32E-6,0
EYESAT A (AO-27),1993-061C,2026-05-20T22:32:31.255296,14.30933906,.0008533,98.6889,208.3610,172.6767,187.4541,0,U,22825,999,70310,.40068575E-4,.61E-6,0
ITAMSAT (IO-26),1993-061D,2026-05-20T22:14:33.813600,14.31359928,.00093763,98.6837,208.2632,157.1046,203.0557,0,U,22826,999,70341,.36090246E-4,.51E-6,0
USA 99 (MILSTAR-1 1),1994-009A,2026-05-20T11:34:07.386816,0.98724193,.00012243,17.5876,27.9946,257.3928,285.9600,0,U,22988,999,3267,0,-.269E-5,0
RADIO ROSTO (RS15),1994-085A,2026-05-20T19:11:37.917888,11.27583603,.01551843,64.8185,347.5110,8.9053,351.4569,0,U,23439,999,29281,-.38466165E-4,-.44E-6,0
UFO 4 (USA 108),1995-003A,2026-05-20T20:11:14.464896,1.00268456,.00031822,9.7068,13.3232,37.3298,303.0104,0,U,23467,999,11467,0,-.31E-6,0
TDRS 7,1995-035B,2026-05-20T16:43:29.606880,1.00271746,.00112108,13.3889,348.3813,71.3156,158.8082,0,U,23613,999,11297,0,-.251E-5,0
USA 115 (MILSTAR-1 2),1995-060A,2026-05-20T15:27:07.502976,1.00366622,.00004983,14.0639,3.9578,91.3025,271.2940,0,U,23712,999,3261,0,-.147E-5,0
POLAR,1996-013A,2026-05-19T12:55:31.357632,1.29846051,.6441831,79.8243,227.3860,210.0636,88.0785,0,U,23802,999,14448,0,.76E-6,0
INMARSAT 3-F1,1996-020A,2026-05-20T05:14:20.753664,0.99986153,.00036447,10.5447,46.8903,8.7684,194.8796,0,U,23839,999,10997,0,-.27E-5,0
USA 119,1996-029A,2026-05-20T07:55:58.694016,13.46168845,.08496937,63.3194,264.9987,48.7559,318.3577,0,U,23893,999,10152,.10372989E-3,.504E-5,0
JAS-2 (FO-29),1996-046B,2026-05-20T21:08:27.368448,13.53272888,.03501025,98.5266,353.4897,167.1472,193.8883,0,U,24278,999,46947,.36471582E-4,.2E-7,0
INMARSAT 3-F2,1996-053A,2026-05-20T14:41:43.603872,1.00002854,.00068319,9.7965,54.2162,6.7714,213.6978,0,U,24307,999,10864,0,-.43E-6,0
INMARSAT 3-F3,1996-070A,2026-05-20T19:42:22.695264,0.99973996,.00039945,10.2606,49.9131,353.3285,202.3870,0,U,24674,999,10763,0,-.11E-6,0
NAVSTAR 43 (USA 132),1997-035A,2026-05-20T18:42:42.484896,2.00563774,.01010988,55.9812,99.6463,56.4576,304.4688,0,U,24876,999,21140,0,.24E-6,0
FORTE,1997-047A,2026-05-20T23:39:20.925504,14.27932532,.00240052,69.9534,75.4605,310.5324,49.3707,0,U,24920,999,49480,.64806591E-4,.103E-5,0
AMC-3,1997-050A,2026-05-20T07:50:38.671872,1.00271479,.00027849,8.0795,64.4022,353.9160,225.3205,0,U,24936,999,5215,0,-.268E-5,0
USA 134,1997-065A,2026-05-20T12:24:13.337856,1.00272381,.00047637,12.7530,21.9323,331.4832,318.6646,0,U,25019,999,3267,0,-.73E-6,0
ORBCOMM FM06,1997-084G,2026-05-20T19:59:41.790912,14.47487180,.00021357,45.0126,184.3892,243.4531,287.4114,0,U,25118,999,49042,.20388413E-3,.611E-5,0
INMARSAT 3-F5,1998-006B,2026-05-20T07:18:08.527104,1.00270502,.00048564,9.6333,53.5341,1.8056,238.1832,0,U,25153,999,10361,0,-.298E-5,0
ORBCOMM FM04,1998-007C,2026-05-20T15:55:43.641984,14.35680064,.00403489,107.9627,112.7760,12.4775,347.7356,0,U,25159,999,47264,.23309634E-3,.547E-5,0
CELESTIS-02 & TAURUS R/B,1998-007D,2026-05-20T23:22:30.244224,14.22476206,.00621247,108.0106,277.3754,181.1865,285.6533,0,U,25160,999,46664,.56736311E-4,-.1E-7,0
TECHSAT 1B (GO-32),1998-043D,2026-05-20T22:48:46.659456,14.24422362,.00005642,99.0063,133.0237,352.1860,7.9309,0,U,25397,999,44745,.27284503E-4,.16E-6,0
WESTPAC,1998-043E,2026-05-20T21:59:58.661952,14.23051613,.00005003,99.0127,126.3212,334.6434,25.4719,0,U,25398,999,44706,.6334994E-5,-.32E-6,0
ORBCOMM FM19,1998-046C,2026-05-20T22:28:03.061920,14.39438125,.00027059,44.9953,13.0886,163.8937,210.5915,0,U,25415,999,45285,.23830828E-3,.606E-5,0
ORBCOMM FM20,1998-046D,2026-05-20T22:03:31.116096,14.38020616,.00002045,44.9954,20.7925,40.3501,319.7363,0,U,25416,999,45286,.17271089E-3,.385E-5,0
ORBCOMM FM27,1998-053G,2026-05-20T15:04:04.334880,14.39078935,.00016698,45.0043,106.2436,307.2419,52.8278,0,U,25481,999,44626,.20116253E-3,.485E-5,0
SCD 2,1998-060A,2026-05-20T23:36:05.339232,14.45514092,.00166258,24.9950,239.9260,194.9645,326.0170,0,U,25504,999,45638,.33840034E-4,.304E-5,0
