OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
NAVSTAR 86 (USA 585),2026-087A,2026-05-19T11:39:59.721696,2.00570690,.0005154,54.9639,208.9229,271.7816,81.6763,0,U,68791,999,25,0,.28E-6,0
FSI-SAT2,2026-088A,2026-05-20T09:25:37.788672,15.06574047,.00141937,97.5040,290.3613,196.4520,163.6249,0,U,68792,999,410,.15098125E-3,.2178E-4,0
KAKUSHIN RISING OBJECT B,2026-088B,2026-05-20T15:41:10.623552,15.06826958,.00154237,97.5030,290.6240,192.0956,167.9904,0,U,68793,999,414,.12331809E-3,.1781E-4,0
KAKUSHIN RISING OBJECT C,2026-088C,2026-05-20T15:35:59.100576,15.07030461,.00130318,97.5036,290.6315,184.5535,175.5577,0,U,68794,999,414,.14474732E-3,.2111E-4,0
ORIGAMISAT-2,2026-088D,2026-05-20T15:09:42.408576,15.08026936,.0016131,97.5048,290.6580,170.1097,190.0452,0,U,68795,999,414,.18807611E-3,.2841E-4,0
ARICA-2,2026-088E,2026-05-20T13:31:07.749696,15.08163584,.00161832,97.5031,290.5891,168.6666,191.4930,0,U,68796,999,413,.22350105E-3,.3401E-4,0
WASEDA-SAT-ZERO-II,2026-088F,2026-05-20T08:42:40.220064,15.08271483,.00160958,97.5034,290.3959,169.3664,190.7908,0,U,68797,999,410,.31323903E-3,.4807E-4,0
MAGNARO-II,2026-088G,2026-05-20T08:34:22.485216,15.08546018,.00194895,97.5041,290.4073,172.5821,187.5699,0,U,68798,999,410,.20045444E-3,.308E-4,0
KAKUSHIN RISING OBJECT H,2026-088H,2026-05-20T08:33:54.349056,15.08564746,.00195524,97.5025,290.4009,172.5281,187.6243,0,U,68799,999,410,.19891379E-3,.3058E-4,0
STARLINK-37471,2026-089A,2026-05-20T13:09:50.691168,15.75249175,.00012648,97.2875,346.9513,90.6500,269.4910,0,U,68802,999,434,.10842462E-2,.16518E-2,0
STARLINK-37460,2026-089B,2026-05-20T13:08:49.610688,15.75210601,.00014333,97.2868,346.9534,80.5815,279.5612,0,U,68803,999,434,.66020433E-3,.99589E-3,0
STARLINK-37473,2026-089C,2026-05-20T13:06:47.589696,15.75224284,.0001165,97.2865,346.9545,73.1117,287.0276,0,U,68804,999,434,.87891029E-3,.133226E-2,0
STARLINK-36832,2026-089D,2026-05-20T14:00:01.999872,15.75185617,.00014135,97.2838,347.0001,83.4229,134.1969,0,U,68805,999,556,.26455586E-4,.3817E-4,0
STARLINK-37370,2026-089E,2026-05-20T13:05:16.410048,15.75203749,.00020259,97.2854,346.9541,67.1915,292.9565,0,U,68806,999,434,.11385532E-2,.173291E-2,0
STARLINK-37366,2026-089F,2026-05-20T02:23:54.382272,15.75188141,.00033546,97.2837,346.4887,75.5309,284.6328,0,U,68807,999,427,.11783628E-2,.179388E-2,0
STARLINK-37446,2026-089G,2026-05-20T13:02:13.350048,15.75287389,.00021324,97.2847,346.9574,98.2593,261.8915,0,U,68808,999,434,.15180755E-2,.233591E-2,0
STARLINK-37405,2026-089H,2026-05-20T13:00:11.522592,15.75280312,.00025447,97.2854,346.9619,102.5776,257.5775,0,U,68809,999,434,.16300766E-2,.251288E-2,0
STARLINK-37447,2026-089J,2026-05-20T12:58:39.882432,15.75297020,.00015286,97.2842,346.9613,107.1416,253.0016,0,U,68810,999,434,.18324136E-2,.283777E-2,0
STARLINK-37442,2026-089K,2026-05-20T02:15:46.478880,15.75200377,.00031723,97.2828,346.4968,72.5432,287.6180,0,U,68811,999,427,.13037855E-2,.199054E-2,0
STARLINK-37431,2026-089L,2026-05-20T12:57:38.984256,15.75295928,.00017527,97.2846,346.9624,109.9724,250.1730,0,U,68812,999,434,.18341851E-2,.284047E-2,0
STARLINK-37426,2026-089M,2026-05-20T14:00:01.999872,15.75258899,.00012357,97.2835,347.0154,77.5212,178.0833,0,U,68813,999,556,-.10377069E-2,-.152633E-2,0
STARLINK-37459,2026-089N,2026-05-20T02:14:14.522496,15.75200463,.00017661,97.2826,346.4997,94.7799,265.3668,0,U,68814,999,427,.13628748E-2,.208283E-2,0
STARLINK-37425,2026-089P,2026-05-20T02:11:41.895168,15.75188228,.0001602,97.2830,346.5021,107.7775,252.3665,0,U,68815,999,427,.12852935E-2,.196031E-2,0
STARLINK-37315,2026-089Q,2026-05-20T02:13:14.007072,15.75197539,.00031075,97.2829,346.5006,79.8644,280.2971,0,U,68816,999,427,.11674571E-2,.177758E-2,0
STARLINK-37444,2026-089R,2026-05-20T02:10:10.793280,15.75229723,.00023011,97.2842,346.5013,77.8446,282.3077,0,U,68817,999,427,.14195915E-2,.217473E-2,0
STARLINK-37450,2026-089S,2026-05-20T02:09:09.614304,15.75256146,.00012512,97.2836,346.5036,68.0204,292.1194,0,U,68818,999,427,.18073038E-2,.279243E-2,0
STARLINK-37409,2026-089T,2026-05-20T02:07:38.647200,15.75173541,.00034392,97.2848,346.5047,55.1053,305.0535,0,U,68819,999,427,.16042879E-2,.246043E-2,0
STARLINK-37470,2026-089U,2026-05-20T14:14:53.107872,15.75225837,.00019326,97.2825,347.0419,101.8682,258.2800,0,U,68820,999,435,.59611668E-3,.89868E-3,0
STARLINK-37421,2026-089V,2026-05-20T02:06:37.928736,15.75189979,.00041083,97.2838,346.5060,57.0939,303.0720,0,U,68821,999,427,.16526201E-2,.2539E-2,0
STARLINK-37462,2026-089W,2026-05-20T14:00:01.999872,15.75216894,.00015767,97.2839,347.0327,79.3734,220.2400,0,U,68822,999,556,-.55248959E-3,-.8185E-3,0
