위성명,NORAD_ID,통과시간(UTC),최대앙각(°),궤도고도(km)
STARLINK-3927,52569,2022-08-04 13:30:00,89.5,543.1
TBA - TO BE ASSIGNED,270020,2022-08-04 12:02:00,89.2,938.7
TBA - TO BE ASSIGNED,82798,2022-08-04 01:19:00,89.0,865.6
MINOTAUR 4 DEB,52975,2022-08-04 02:34:00,88.4,624.4
STARLINK-4048,52839,2022-08-04 17:12:00,88.0,465.7
TBA - TO BE ASSIGNED,81366,2022-08-04 01:30:00,87.6,961.1
TBA - TO BE ASSIGNED,82526,2022-08-04 12:34:00,87.5,889.7
TBA - TO BE ASSIGNED,89494,2022-08-04 12:08:00,87.4,927.5
TBA - TO BE ASSIGNED,87883,2022-08-04 02:38:00,87.4,1060.1
TBA - TO BE ASSIGNED,82303,2022-08-04 01:45:00,87.3,1097.4
TBA - TO BE ASSIGNED,87448,2022-08-04 01:11:00,87.1,909.8
TBA - TO BE ASSIGNED,270194,2022-08-04 09:22:00,87.0,1071.1
TBA - TO BE ASSIGNED,89389,2022-08-04 18:06:00,86.9,611.9
TBA - TO BE ASSIGNED,270077,2022-08-04 18:58:00,86.8,1177.9
YAOGAN-35 F,52909,2022-08-04 22:47:00,86.7,501.5
TBA - TO BE ASSIGNED,82250,2022-08-04 15:36:00,86.7,933.6
TBA - TO BE ASSIGNED,89460,2022-08-04 07:19:00,86.4,1169.0
TBA - TO BE ASSIGNED,270208,2022-08-04 09:41:00,86.3,1093.1
TBA - TO BE ASSIGNED,87235,2022-08-04 19:22:00,86.1,896.4
H-2A DEB,53329,2022-08-04 18:06:00,85.6,568.0
STARLINK-4074,52678,2022-08-04 15:06:00,85.3,543.1
TBA - TO BE ASSIGNED,53359,2022-08-04 07:49:00,85.1,618.5
TBA - TO BE ASSIGNED,81279,2022-08-04 07:31:00,85.0,995.8
STARLINK-3946,52693,2022-08-04 15:10:00,84.9,543.0
COSMOS 1408 DEB,52571,2022-08-04 10:47:00,84.7,595.2
RANDEV,52898,2022-08-04 19:23:00,84.6,705.3
TBA - TO BE ASSIGNED,53360,2022-08-04 07:48:00,84.5,620.0
STARLINK-4015,52616,2022-08-04 08:55:00,84.5,543.8
SBUDNIC,52774,2022-08-04 05:33:00,84.4,531.7
COSMOS 1408 DEB,52921,2022-08-04 21:54:00,84.2,462.2
STARLINK-4075,52670,2022-08-04 15:47:00,83.9,542.9
TBA - TO BE ASSIGNED,82526,2022-08-04 01:11:00,83.4,835.1
FREGAT DEB,52961,2022-08-04 02:48:00,83.4,912.0
H-2A DEB,53326,2022-08-04 06:35:00,83.2,543.9
TBA - TO BE ASSIGNED,81865,2022-08-04 12:10:00,83.2,1004.6
KSLV-II DUMMY,52895,2022-08-04 19:24:00,83.0,705.4
TBA - TO BE ASSIGNED,270100,2022-08-04 07:49:00,82.9,816.4
STARLINK-4049,52840,2022-08-04 17:14:00,82.5,465.9
TBA - TO BE ASSIGNED,270053,2022-08-04 02:20:00,82.5,1006.6
TBA - TO BE ASSIGNED,270220,2022-08-04 03:07:00,82.4,829.6
OBJECT B,52717,2022-08-04 02:23:00,82.2,1041.2
SNUGLITE-II,52899,2022-08-04 19:24:00,82.2,705.3
TBA - TO BE ASSIGNED,87300,2022-08-04 12:20:00,82.1,944.0
COSMOS 1408 DEB,52809,2022-08-04 11:09:00,82.1,687.8
TBA - TO BE ASSIGNED,270022,2022-08-04 23:05:00,82.1,1112.9
STEP CUBE LAB-II,52897,2022-08-04 19:24:00,82.1,705.3
TBA - TO BE ASSIGNED,81640,2022-08-04 14:07:00,81.8,1007.0
TBA - TO BE ASSIGNED,270278,2022-08-04 04:03:00,81.6,1162.8
TBA - TO BE ASSIGNED,270134,2022-08-04 11:48:00,81.4,1045.4
TBA - TO BE ASSIGNED,82410,2022-08-04 22:37:00,81.4,989.6
H-2A DEB,53118,2022-08-04 06:40:00,81.3,511.3
STARLINK-3992,52627,2022-08-04 23:25:00,81.3,543.3
TBA - TO BE ASSIGNED,87433,2022-08-04 18:34:00,81.3,1113.3
TBA - TO BE ASSIGNED,82383,2022-08-04 01:57:00,81.2,621.6
STARLINK-4154,53133,2022-08-04 03:14:00,81.2,356.0
TBA - TO BE ASSIGNED,81438,2022-08-04 20:52:00,81.1,1126.1
TBA - TO BE ASSIGNED,270075,2022-08-04 15:57:00,81.0,1011.2
TBA - TO BE ASSIGNED,53357,2022-08-04 07:53:00,80.9,521.9
STARLINK-3910,52586,2022-08-04 22:46:00,80.9,544.1
COSMOS 1408 DEB,52815,2022-08-04 10:07:00,80.8,434.2
TBA - TO BE ASSIGNED,87071,2022-08-04 13:12:00,80.8,616.6
TBA - TO BE ASSIGNED,87426,2022-08-04 07:25:00,80.7,824.3
TBA - TO BE ASSIGNED,81425,2022-08-04 15:02:00,80.7,958.9
OBJECT C,52787,2022-08-04 03:41:00,80.6,604.2
STARLINK-4019,52598,2022-08-04 00:38:00,80.5,543.4
TBA - TO BE ASSIGNED,87883,2022-08-04 15:10:00,80.5,769.6
STARLINK-4208,52844,2022-08-04 17:10:00,80.5,464.3
TBA - TO BE ASSIGNED,87271,2022-08-04 09:46:00,80.4,682.4
TBA - TO BE ASSIGNED,89183,2022-08-04 17:03:00,80.4,879.0
FREGAT DEB,52955,2022-08-04 19:31:00,80.3,980.4
TBA - TO BE ASSIGNED,82311,2022-08-04 15:18:00,80.2,1118.8
TBA - TO BE ASSIGNED,87942,2022-08-04 20:36:00,80.1,589.7
TBA - TO BE ASSIGNED,82410,2022-08-04 09:16:00,80.1,945.1
STARLINK-3891,52650,2022-08-04 22:48:00,80.0,352.4
TBA - TO BE ASSIGNED,87334,2022-08-04 13:17:00,80.0,973.2
TBA - TO BE ASSIGNED,87051,2022-08-04 14:22:00,80.0,770.2
TBA - TO BE ASSIGNED,87320,2022-08-04 13:45:00,79.9,786.9
OBJECT J,52793,2022-08-04 18:15:00,79.8,619.7
TBA - TO BE ASSIGNED,82428,2022-08-04 18:33:00,79.8,874.6
TBA - TO BE ASSIGNED,82854,2022-08-04 03:01:00,79.7,865.4
TBA - TO BE ASSIGNED,81449,2022-08-04 12:31:00,79.7,803.6
TBA - TO BE ASSIGNED,53358,2022-08-04 07:53:00,79.6,521.4
TBA - TO BE ASSIGNED,270213,2022-08-04 14:08:00,79.6,960.3
GLOBALSTAR FM15,52888,2022-08-04 01:30:00,79.4,1116.8
TBA - TO BE ASSIGNED,82741,2022-08-04 09:07:00,79.3,1040.3
STARLINK-4005,52686,2022-08-04 00:40:00,79.2,544.4
TBA - TO BE ASSIGNED,89379,2022-08-04 16:53:00,79.1,1075.7
KSLV-II R/B,52896,2022-08-04 19:28:00,79.1,691.9
TBA - TO BE ASSIGNED,82448,2022-08-04 03:43:00,79.0,612.7
TBA - TO BE ASSIGNED,89123,2022-08-04 04:45:00,78.9,785.4
YAOGAN-35 D,52907,2022-08-04 22:47:00,78.9,499.9
STARLINK-4033,52702,2022-08-04 15:24:00,78.8,543.3
TBA - TO BE ASSIGNED,89195,2022-08-04 13:48:00,78.8,837.9
STARLINK-4067,52668,2022-08-04 15:51:00,78.7,542.9
TBA - TO BE ASSIGNED,87448,2022-08-04 12:42:00,78.7,960.0
STARLINK-4006,52676,2022-08-04 01:27:00,78.6,544.7
SLINGSHOT1,52947,2022-08-04 01:32:00,78.5,498.2
STARLINK-4063,53132,2022-08-04 03:13:00,78.5,354.9
STARLINK-4016,52603,2022-08-04 09:36:00,78.4,544.0
TBA - TO BE ASSIGNED,82524,2022-08-04 17:54:00,78.3,908.7
TBA - TO BE ASSIGNED,87237,2022-08-04 00:04:00,78.3,1009.5
STARLINK-4023,53135,2022-08-04 03:14:00,78.2,354.3
TBA - TO BE ASSIGNED,270140,2022-08-04 19:32:00,78.2,873.3
TBA - TO BE ASSIGNED,81380,2022-08-04 04:33:00,78.1,750.9
TBA - TO BE ASSIGNED,81317,2022-08-04 06:19:00,78.0,970.9
COSMOS 1408 DEB,52816,2022-08-04 21:45:00,77.9,453.7
TBA - TO BE ASSIGNED,82617,2022-08-04 08:10:00,77.8,753.6
TBA - TO BE ASSIGNED,81749,2022-08-04 21:43:00,77.8,1081.1
TBA - TO BE ASSIGNED,89261,2022-08-04 11:36:00,77.7,770.2
TBA - TO BE ASSIGNED,87237,2022-08-04 11:32:00,77.7,873.7
OBJECT C,52718,2022-08-04 02:10:00,77.6,888.0
COSMOS 1408 DEB,53097,2022-08-04 21:36:00,77.6,434.8
STARLINK-4068,52681,2022-08-04 00:46:00,77.6,544.9
OBJECT A,52716,2022-08-04 02:09:00,77.6,887.2
H-2A DEB,53328,2022-08-04 18:10:00,77.4,560.0
TBA - TO BE ASSIGNED,85383,2022-08-04 04:23:00,77.3,703.7
STARLINK-4064,52665,2022-08-04 15:46:00,77.3,542.7
STARLINK-3979,52608,2022-08-04 09:31:00,77.2,544.2
TBA - TO BE ASSIGNED,82494,2022-08-04 10:21:00,77.2,730.6
COSMOS 1408 DEB,52824,2022-08-04 10:52:00,77.1,595.4
STARLINK-4202,52848,2022-08-04 17:08:00,77.1,463.6
COSMOS 1408 DEB,52815,2022-08-04 21:35:00,77.1,466.2
TBA - TO BE ASSIGNED,85266,2022-08-04 17:26:00,77.0,584.8
OBJECT H,52792,2022-08-04 18:23:00,77.0,619.7
HAWK-5B,52756,2022-08-04 05:35:00,76.9,540.9
ICEYE-X18,52749,2022-08-04 05:34:00,76.9,539.2
TBA - TO BE ASSIGNED,87335,2022-08-04 01:20:00,76.9,1071.4
TBA - TO BE ASSIGNED,81374,2022-08-04 12:01:00,76.8,761.5
TBA - TO BE ASSIGNED,87456,2022-08-04 08:38:00,76.7,1103.3
TBA - TO BE ASSIGNED,87416,2022-08-04 15:25:00,76.7,807.9
TBA - TO BE ASSIGNED,81775,2022-08-04 04:53:00,76.6,807.9
TBA - TO BE ASSIGNED,82369,2022-08-04 11:35:00,76.6,915.6
YAOGAN-35 F,52909,2022-08-04 05:52:00,76.5,505.9
TBA - TO BE ASSIGNED,270178,2022-08-04 08:28:00,76.5,785.1
