name	norad_id	country	epoch	inclination	mean_motion	eccentricity	altitude_km	period_min	rcs_size	object_type	line1	line2	launch_date_x	decay_date_x	launch_date_y	decay_date_y	launch_date	decay_date	sat_name	purpose	detailed_purpose	users	operator	orbit_type	sensor	source	filter_source	commercial_source
ZHUHAI-1 03B	44536	PRC	2026-05-20T16:11:46.936320	97.5512	15.52428176	0.00092532	416.8	92.76	MEDIUM	PAYLOAD	1 44536U 19060C   26140.67484880  .00019613  00000-0  32184-3 0  9997	2 44536  97.5512 296.9951 0009253  64.1094 296.1111 15.52428176372056	2019-09-19		2019-09-19		2019-09-19		Zhuhai 1 (OHS 5)	Earth Observation	Hyperspectral Imaging	Commercial	Zhuhai Orbita Control Engineering Co. Ltd.	Sun-Synchronous	OPT_HR	UCS	UCS	UCS
GRUS-1B	47934	JPN	2026-05-20T16:10:07.883040	97.5402	14.98904692	0.00169015	577.4	96.07	MEDIUM	PAYLOAD	1 47934U 21022C   26140.67370235  .00000590  00000-0  53409-4 0  9999	2 47934  97.5402  24.7716 0016902  55.7584 304.5237 14.98904692281776	2021-03-22		2021-03-22		2021-03-22		GRUS-1B	Earth Observation	Optical Imaging	Commercial	Axelspace	Sun-Synchronous	OPT_HR	UCS	UCS	UCS
BEIJING 1 (TSINGHUA)	28890	PRC	2026-05-20T15:59:36.646368	98.288	14.63514002	0.00149089	689	98.39	MEDIUM	PAYLOAD	1 28890U 05043A   26140.66639637  .00000216  00000-0  51039-4 0  9999	2 28890  98.2880 273.7317 0014909  13.1098 347.0488 14.63514002 96622	2005-10-27		2005-10-27		2005-10-27		"BeijingGalaxy-1 (Beijing 1 [Tsinghua], Tsinghau-2, China DMC+4)"	Earth Observation	Optical Imaging	Commercial	Beijing Landview Mapping Information Technology Co. Ltd (BLMIT)	Sun-Synchronous	OPT_HR	UCS	UCS	UCS
SUPERVIEW NEO-1 02	52322	PRC	2026-05-20T15:47:44.672352	97.3402	15.16194723	0.00033479	524.5	94.97	LARGE	PAYLOAD	1 52322U 22043C   26140.65815593  .00002879  00000-0  15241-3 0  9992	2 52322  97.3402 214.3419 0003348  81.8359 278.3254 15.16194723225400	2022-04-29		2022-04-29		2022-04-29		Siwei 02 (SuperView Neo 1-02)	Earth Observation	Optical Imaging	Commercial	China Siwei Surveying and Mapping Technology Co. Ltd.		OPT_HR	UCS	UCS	UCS
SKYSAT C8	42990	US	2026-05-20T15:41:22.083648	97.4493	15.36372945	0.00016089	464	93.73	MEDIUM	PAYLOAD	1 42990U 17068D   26140.65372782  .00007471  00000-0  21294-3 0  9999	2 42990  97.4493 276.9461 0001609 110.5725 249.5691 15.36372945478082	2017-10-31		2017-10-31		2017-10-31		"SkySat-10 (SkySat C8, S108)"	Earth Observation	Optical Imaging	Commercial	"Planet Labs, Inc."	Sun-Synchronous	OPT_HR	UCS	UCS	UCS
SPOT 7	40053	AZER	2026-05-20T15:34:11.025408	98.0637	14.60931928	0.00012841	697.3	98.57	LARGE	PAYLOAD	1 40053U 14034A   26140.64873872  .00000529  00000-0  11733-3 0  9996	2 40053  98.0637 203.8479 0001284  79.8747 280.2599 14.60931928633119	2014-06-30		2014-06-30		2014-06-30		Spot 7 (Syst?me Probatoire d¡¯Observation de la Terre)	Earth Observation	Optical Imaging	Commercial	Spot Image	Sun-Synchronous	OPT_HR	UCS	UCS	UCS
SKYSAT C7	42991	US	2026-05-20T15:30:44.503488	97.4503	15.36312733	0.0005859	464.2	93.73	MEDIUM	PAYLOAD	1 42991U 17068E   26140.64634842  .00007551  00000-0  21552-3 0  9993	2 42991  97.4503 277.9263 0005859 192.3610 167.7491 15.36312733478143	2017-10-31		2017-10-31		2017-10-31		"SkySat-9 (SkySat C7, S107)"	Earth Observation	Optical Imaging	Commercial	"Planet Labs, Inc."	Sun-Synchronous	OPT_HR	UCS	UCS	UCS
ICEYE-X2	43800	FIN	2026-05-20T15:29:24.047808	97.4366	15.17344922	0.00113543	521	94.9	MEDIUM	PAYLOAD	1 43800U 18099AU  26140.64541722  .00006119  00000-0  30947-3 0  9999	2 43800  97.4366 194.9779 0011354  46.8196 313.3984 15.17344922408647	2018-12-03		2018-12-03		2018-12-03		ICEYE-X2 (ICEYE POC 2)	Earth Observation	Radar Imaging (SAR)	Commercial	ICEYE Ltd.	Sun-Synchronous	SAR	UCS	UCS	UCS
ICEYE-X4	44390	FIN	2026-05-20T15:29:10.552992	97.8777	15.28597445	0.00144061	487.1	94.2	MEDIUM	PAYLOAD	1 44390U 19038D   26140.64526103  .00008903  00000-0  32200-3 0  9991	2 44390  97.8777 171.9501 0014406  47.9359 312.3102 15.28597445377596	2019-07-05		2019-07-05		2019-07-05		ICEYE-X4 (ICEYE POC 4)	Earth Observation	Radar Imaging	Commercial	ICEYE Ltd.	Sun-Synchronous	SAR	UCS	UCS	UCS
SKYSAT C9	42989	US	2026-05-20T15:28:41.754144	97.4397	15.40812878	0.00076737	450.8	93.46	MEDIUM	PAYLOAD	1 42989U 17068C   26140.64492771  .00009015  00000-0  22189-3 0  9997	2 42989  97.4397 277.9172 0007674 228.2925 131.7666 15.40812878478511	2017-10-31		2017-10-31		2017-10-31		"SkySat-11 (SkySat C9, S109)"	Earth Observation	Optical Imaging	Commercial	"Planet Labs, Inc."	Sun-Synchronous	OPT_HR	UCS	UCS	UCS
LINGQIAO VIDEO B	40960	PRC	2026-05-20T15:20:12.776928	97.6584	14.77455112	0.00171608	644.5	97.47	MEDIUM	PAYLOAD	1 40960U 15057C   26140.63903677  .00000597  00000-0  90408-4 0  9997	2 40960  97.6584 137.9732 0017161   4.8033 355.3340 14.77455112571380	2015-10-07		2015-10-07		2015-10-07		"Jilin-1 (Lingqiao-B, Lingqiao Video B)"	Earth Observation	Optical Imaging (video)	Commercial	Chang Guang Satellite Technology Co. Ltd.	Sun-Synchronous	OPT_HR	UCS	UCS	UCS
GRUS-1E	47935	JPN	2026-05-20T15:19:53.622048	97.5462	14.99394382	0.00146801	575.9	96.04	MEDIUM	PAYLOAD	1 47935U 21022D   26140.63881507  .00001397  00000-0  11860-3 0  9995	2 47935  97.5462  25.9224 0014680  59.4034 300.8635 14.99394382281829	2021-03-22		2021-03-22		2021-03-22		GRUS-1E	Earth Observation	Optical Imaging	Commercial	Axelspace	Sun-Synchronous	OPT_HR	UCS	UCS	UCS
